Date,Commodity,Price
2023-12-06,Onion,45.44
2023-12-07,Onion,45.41
2023-12-08,Onion,43.13
2023-12-09,Onion,43.21
2023-12-10,Onion,45.3
2023-12-11,Onion,40.23
2023-12-12,Onion,40.33
2023-12-13,Onion,42.38
2023-12-14,Onion,43.88
2023-12-15,Onion,45.43
2023-12-16,Onion,48.91
2023-12-17,Onion,47.05
2023-12-18,Onion,43.98
2023-12-19,Onion,44.39
2023-12-20,Onion,41.43
2023-12-21,Onion,44.38
2023-12-22,Onion,43.56
2023-12-23,Onion,45.39
2023-12-24,Onion,41.94
2023-12-25,Onion,45.98
2023-12-26,Onion,49.02
2023-12-27,Onion,44.1
2023-12-28,Onion,45.64
2023-12-29,Onion,46.51
2023-12-30,Onion,43.25
2023-12-31,Onion,45.13
2024-01-01,Onion,44.51
2024-01-02,Onion,44.78
2024-01-03,Onion,42.18
2024-01-04,Onion,44.59
2024-01-05,Onion,46.03
2024-01-06,Onion,48.91
2024-01-07,Onion,47.45
2024-01-08,Onion,51.06
2024-01-09,Onion,42.32
2024-01-10,Onion,47.27
2024-01-11,Onion,45.23
2024-01-12,Onion,51.28
2024-01-13,Onion,42.31
2024-01-14,Onion,42.25
2024-01-15,Onion,43.01
2024-01-16,Onion,38.47
2024-01-17,Onion,43.3
2024-01-18,Onion,42.64
2024-01-19,Onion,45.41
2024-01-20,Onion,46.03
2024-01-21,Onion,50.68
2024-01-22,Onion,47.95
2024-01-23,Onion,43.41
2024-01-24,Onion,42.5
2024-01-25,Onion,46.72
2024-01-26,Onion,41.33
2024-01-27,Onion,50.84
2024-01-28,Onion,48.94
2024-01-29,Onion,44.05
2024-01-30,Onion,40.38
2024-01-31,Onion,49.64
2024-02-01,Onion,45.3
2024-02-02,Onion,49.42
2024-02-03,Onion,40.99
2024-02-04,Onion,44.04
2024-02-05,Onion,45.92
2024-02-06,Onion,46.12
2024-02-07,Onion,44.7
2024-02-08,Onion,47.99
2024-02-09,Onion,42.99
2024-02-10,Onion,45.84
2024-02-11,Onion,46.71
2024-02-12,Onion,47.97
2024-02-13,Onion,48.64
2024-02-14,Onion,43.21
2024-02-15,Onion,42.06
2024-02-16,Onion,50.58
2024-02-17,Onion,47.83
2024-02-18,Onion,44.68
2024-02-19,Onion,51.66
2024-02-20,Onion,47.45
2024-02-21,Onion,50.73
2024-02-22,Onion,47.49
2024-02-23,Onion,53.56
2024-02-24,Onion,52.74
2024-02-25,Onion,46.82
2024-02-26,Onion,50.58
2024-02-27,Onion,49.7
2024-02-28,Onion,51.97
2024-02-29,Onion,45.07
2024-03-01,Onion,50.12
2024-03-02,Onion,51.34
2024-03-03,Onion,43.0
2024-03-04,Onion,44.83
2024-03-05,Onion,42.37
2024-03-06,Onion,47.78
2024-03-07,Onion,50.85
2024-03-08,Onion,53.32
2024-03-09,Onion,49.14
2024-03-10,Onion,53.92
2024-03-11,Onion,45.01
2024-03-12,Onion,44.15
2024-03-13,Onion,49.21
2024-03-14,Onion,50.65
2024-03-15,Onion,49.51
2024-03-16,Onion,43.53
2024-03-17,Onion,49.58
2024-03-18,Onion,46.06
2024-03-19,Onion,52.1
2024-03-20,Onion,51.31
2024-03-21,Onion,47.51
2024-03-22,Onion,48.92
2024-03-23,Onion,47.4
2024-03-24,Onion,50.52
2024-03-25,Onion,53.7
2024-03-26,Onion,48.0
2024-03-27,Onion,52.6
2024-03-28,Onion,49.63
2024-03-29,Onion,48.97
2024-03-30,Onion,51.15
2024-03-31,Onion,48.5
2024-04-01,Onion,50.08
2024-04-02,Onion,48.28
2024-04-03,Onion,57.9
2024-04-04,Onion,52.24
2024-04-05,Onion,50.17
2024-04-06,Onion,53.04
2024-04-07,Onion,52.2
2024-04-08,Onion,52.01
2024-04-09,Onion,54.65
2024-04-10,Onion,55.22
2024-04-11,Onion,51.49
2024-04-12,Onion,51.49
2024-04-13,Onion,52.53
2024-04-14,Onion,46.59
2024-04-15,Onion,49.09
2024-04-16,Onion,57.87
2024-04-17,Onion,58.84
2024-04-18,Onion,53.3
2024-04-19,Onion,55.92
2024-04-20,Onion,55.26
2024-04-21,Onion,63.7
2024-04-22,Onion,57.97
2024-04-23,Onion,54.37
2024-04-24,Onion,52.02
2024-04-25,Onion,50.21
2024-04-26,Onion,55.78
2024-04-27,Onion,53.04
2024-04-28,Onion,51.19
2024-04-29,Onion,53.66
2024-04-30,Onion,52.49
2024-05-01,Onion,60.94
2024-05-02,Onion,58.66
2024-05-03,Onion,56.14
2024-05-04,Onion,60.74
2024-05-05,Onion,56.68
2024-05-06,Onion,54.0
2024-05-07,Onion,61.3
2024-05-08,Onion,58.48
2024-05-09,Onion,53.9
2024-05-10,Onion,56.58
2024-05-11,Onion,54.66
2024-05-12,Onion,53.28
2024-05-13,Onion,60.35
2024-05-14,Onion,63.44
2024-05-15,Onion,53.65
2024-05-16,Onion,59.68
2024-05-17,Onion,56.18
2024-05-18,Onion,56.81
2024-05-19,Onion,56.63
2024-05-20,Onion,55.95
2024-05-21,Onion,58.83
2024-05-22,Onion,56.33
2024-05-23,Onion,59.77
2024-05-24,Onion,58.94
2024-05-25,Onion,58.51
2024-05-26,Onion,56.64
2024-05-27,Onion,57.77
2024-05-28,Onion,61.9
2024-05-29,Onion,61.27
2024-05-30,Onion,56.97
2024-05-31,Onion,60.33
2024-06-01,Onion,62.42
2024-06-02,Onion,55.29
2024-06-03,Onion,62.06
2024-06-04,Onion,58.57
2024-06-05,Onion,62.4
2024-06-06,Onion,58.52
2024-06-07,Onion,55.53
2024-06-08,Onion,56.19
2024-06-09,Onion,61.34
2024-06-10,Onion,62.1
2024-06-11,Onion,58.73
2024-06-12,Onion,63.49
2024-06-13,Onion,56.71
2024-06-14,Onion,61.62
2024-06-15,Onion,58.3
2024-06-16,Onion,60.1
2024-06-17,Onion,62.32
2024-06-18,Onion,59.71
2024-06-19,Onion,61.26
2024-06-20,Onion,65.55
2024-06-21,Onion,60.91
2024-06-22,Onion,65.27
2024-06-23,Onion,59.48
2024-06-24,Onion,64.58
2024-06-25,Onion,67.42
2024-06-26,Onion,55.79
2024-06-27,Onion,60.93
2024-06-28,Onion,65.16
2024-06-29,Onion,62.92
2024-06-30,Onion,64.75
2024-07-01,Onion,61.93
2024-07-02,Onion,64.11
2024-07-03,Onion,63.48
2024-07-04,Onion,67.55
2024-07-05,Onion,64.91
2024-07-06,Onion,65.26
2024-07-07,Onion,63.11
2024-07-08,Onion,62.98
2024-07-09,Onion,63.24
2024-07-10,Onion,65.82
2024-07-11,Onion,63.46
2024-07-12,Onion,65.68
2024-07-13,Onion,71.13
2024-07-14,Onion,67.61
2024-07-15,Onion,64.1
2024-07-16,Onion,68.77
2024-07-17,Onion,64.03
2024-07-18,Onion,59.22
2024-07-19,Onion,62.39
2024-07-20,Onion,59.88
2024-07-21,Onion,64.52
2024-07-22,Onion,65.71
2024-07-23,Onion,70.76
2024-07-24,Onion,66.78
2024-07-25,Onion,65.22
2024-07-26,Onion,68.43
2024-07-27,Onion,59.38
2024-07-28,Onion,66.79
2024-07-29,Onion,68.46
2024-07-30,Onion,61.78
2024-07-31,Onion,69.71
2024-08-01,Onion,67.36
2024-08-02,Onion,65.16
2024-08-03,Onion,68.36
2024-08-04,Onion,73.33
2024-08-05,Onion,67.12
2024-08-06,Onion,67.38
2024-08-07,Onion,65.31
2024-08-08,Onion,64.19
2024-08-09,Onion,69.28
2024-08-10,Onion,64.27
2024-08-11,Onion,67.1
2024-08-12,Onion,65.49
2024-08-13,Onion,68.41
2024-08-14,Onion,68.01
2024-08-15,Onion,70.16
2024-08-16,Onion,65.56
2024-08-17,Onion,66.32
2024-08-18,Onion,64.23
2024-08-19,Onion,65.86
2024-08-20,Onion,68.36
2024-08-21,Onion,69.53
2024-08-22,Onion,64.52
2024-08-23,Onion,69.92
2024-08-24,Onion,71.41
2024-08-25,Onion,68.6
2024-08-26,Onion,73.02
2024-08-27,Onion,65.08
2024-08-28,Onion,63.69
2024-08-29,Onion,62.11
2024-08-30,Onion,71.95
2024-08-31,Onion,69.43
2024-09-01,Onion,67.32
2024-09-02,Onion,68.33
2024-09-03,Onion,64.13
2024-09-04,Onion,74.85
2024-09-05,Onion,67.9
2024-09-06,Onion,67.85
2024-09-07,Onion,69.7
2024-09-08,Onion,68.96
2024-09-09,Onion,68.19
2024-09-10,Onion,65.15
2024-09-11,Onion,68.93
2024-09-12,Onion,73.15
2024-09-13,Onion,71.53
2024-09-14,Onion,72.27
2024-09-15,Onion,65.94
2024-09-16,Onion,64.5
2024-09-17,Onion,67.07
2024-09-18,Onion,67.6
2024-09-19,Onion,70.7
2024-09-20,Onion,62.32
2024-09-21,Onion,71.97
2024-09-22,Onion,66.88
2024-09-23,Onion,66.05
2024-09-24,Onion,64.27
2024-09-25,Onion,62.31
2024-09-26,Onion,69.72
2024-09-27,Onion,67.44
2024-09-28,Onion,63.32
2024-09-29,Onion,63.27
2024-09-30,Onion,66.11
2024-10-01,Onion,72.09
2024-10-02,Onion,66.26
2024-10-03,Onion,62.49
2024-10-04,Onion,66.22
2024-10-05,Onion,66.1
2024-10-06,Onion,58.78
2024-10-07,Onion,66.67
2024-10-08,Onion,66.09
2024-10-09,Onion,68.82
2024-10-10,Onion,72.23
2024-10-11,Onion,70.01
2024-10-12,Onion,65.77
2024-10-13,Onion,63.2
2024-10-14,Onion,74.19
2024-10-15,Onion,66.59
2024-10-16,Onion,66.39
2024-10-17,Onion,66.22
2024-10-18,Onion,66.82
2024-10-19,Onion,65.73
2024-10-20,Onion,64.38
2024-10-21,Onion,64.4
2024-10-22,Onion,65.87
2024-10-23,Onion,64.27
2024-10-24,Onion,63.69
2024-10-25,Onion,66.08
2024-10-26,Onion,64.92
2024-10-27,Onion,70.13
2024-10-28,Onion,57.59
2024-10-29,Onion,68.74
2024-10-30,Onion,69.13
2024-10-31,Onion,59.09
2024-11-01,Onion,64.2
2024-11-02,Onion,64.04
2024-11-03,Onion,60.85
2024-11-04,Onion,62.65
2024-11-05,Onion,61.57
2024-11-06,Onion,70.07
2024-11-07,Onion,67.54
2024-11-08,Onion,68.46
2024-11-09,Onion,66.72
2024-11-10,Onion,61.08
2024-11-11,Onion,62.8
2024-11-12,Onion,65.75
2024-11-13,Onion,60.53
2024-11-14,Onion,66.24
2024-11-15,Onion,63.28
2024-11-16,Onion,62.79
2024-11-17,Onion,65.95
2024-11-18,Onion,65.05
2024-11-19,Onion,62.54
2024-11-20,Onion,67.0
2024-11-21,Onion,60.18
2024-11-22,Onion,65.17
2024-11-23,Onion,65.0
2024-11-24,Onion,62.19
2024-11-25,Onion,63.99
2024-11-26,Onion,59.16
2024-11-27,Onion,65.58
2024-11-28,Onion,62.15
2024-11-29,Onion,61.03
2024-11-30,Onion,65.64
2024-12-01,Onion,60.27
2024-12-02,Onion,58.05
2024-12-03,Onion,57.5
2024-12-04,Onion,63.88
2024-12-05,Onion,58.11
2024-12-06,Onion,67.11
2024-12-07,Onion,55.48
2024-12-08,Onion,66.71
2024-12-09,Onion,62.14
2024-12-10,Onion,61.11
2024-12-11,Onion,59.65
2024-12-12,Onion,62.37
2024-12-13,Onion,60.95
2024-12-14,Onion,64.25
2024-12-15,Onion,61.17
2024-12-16,Onion,61.17
2024-12-17,Onion,59.51
2024-12-18,Onion,60.32
2024-12-19,Onion,61.3
2024-12-20,Onion,55.13
2024-12-21,Onion,56.1
2024-12-22,Onion,62.26
2024-12-23,Onion,60.42
2024-12-24,Onion,59.24
2024-12-25,Onion,59.73
2024-12-26,Onion,60.6
2024-12-27,Onion,57.83
2024-12-28,Onion,56.99
2024-12-29,Onion,59.8
2024-12-30,Onion,56.16
2024-12-31,Onion,60.2
2023-01-01,Potato,67.01
2023-01-02,Potato,73.02
2023-01-03,Potato,75.34
2023-01-04,Potato,77.52
2023-01-05,Potato,75.71
2023-01-06,Potato,67.28
2023-01-07,Potato,69.1
2023-01-08,Potato,71.2
2023-01-09,Potato,73.3
2023-01-10,Potato,74.91
2023-01-11,Potato,71.31
2023-01-12,Potato,74.19
2023-01-13,Potato,71.5
2023-01-14,Potato,72.07
2023-01-15,Potato,69.82
2023-01-16,Potato,71.4
2023-01-17,Potato,70.25
2023-01-18,Potato,71.52
2023-01-19,Potato,77.74
2023-01-20,Potato,71.87
2023-01-21,Potato,82.74
2023-01-22,Potato,76.46
2023-01-23,Potato,75.67
2023-01-24,Potato,72.67
2023-01-25,Potato,77.48
2023-01-26,Potato,73.78
2023-01-27,Potato,76.01
2023-01-28,Potato,83.45
2023-01-29,Potato,75.62
2023-01-30,Potato,79.48
2023-01-31,Potato,74.05
2023-02-01,Potato,76.19
2023-02-02,Potato,81.73
2023-02-03,Potato,74.66
2023-02-04,Potato,82.11
2023-02-05,Potato,78.92
2023-02-06,Potato,75.23
2023-02-07,Potato,78.94
2023-02-08,Potato,80.09
2023-02-09,Potato,79.16
2023-02-10,Potato,72.7
2023-02-11,Potato,75.35
2023-02-12,Potato,76.91
2023-02-13,Potato,77.55
2023-02-14,Potato,79.75
2023-02-15,Potato,78.54
2023-02-16,Potato,74.12
2023-02-17,Potato,79.38
2023-02-18,Potato,80.19
2023-02-19,Potato,80.15
2023-02-20,Potato,81.82
2023-02-21,Potato,81.19
2023-02-22,Potato,80.18
2023-02-23,Potato,78.7
2023-02-24,Potato,74.04
2023-02-25,Potato,80.42
2023-02-26,Potato,79.86
2023-02-27,Potato,80.16
2023-02-28,Potato,75.62
2023-03-01,Potato,76.31
2023-03-02,Potato,82.81
2023-03-03,Potato,79.63
2023-03-04,Potato,81.9
2023-03-05,Potato,80.03
2023-03-06,Potato,80.14
2023-03-07,Potato,82.96
2023-03-08,Potato,78.69
2023-03-09,Potato,80.62
2023-03-10,Potato,79.04
2023-03-11,Potato,79.21
2023-03-12,Potato,79.67
2023-03-13,Potato,81.36
2023-03-14,Potato,79.34
2023-03-15,Potato,84.63
2023-03-16,Potato,78.26
2023-03-17,Potato,80.47
2023-03-18,Potato,79.79
2023-03-19,Potato,85.53
2023-03-20,Potato,81.86
2023-03-21,Potato,84.44
2023-03-22,Potato,76.97
2023-03-23,Potato,82.3
2023-03-24,Potato,84.24
2023-03-25,Potato,81.89
2023-03-26,Potato,84.91
2023-03-27,Potato,80.23
2023-03-28,Potato,86.08
2023-03-29,Potato,88.81
2023-03-30,Potato,80.89
2023-03-31,Potato,80.7
2023-04-01,Potato,86.46
2023-04-02,Potato,86.9
2023-04-03,Potato,80.65
2023-04-04,Potato,81.02
2023-04-05,Potato,81.49
2023-04-06,Potato,78.35
2023-04-07,Potato,79.68
2023-04-08,Potato,79.47
2023-04-09,Potato,80.23
2023-04-10,Potato,82.48
2023-04-11,Potato,83.33
2023-04-12,Potato,87.32
2023-04-13,Potato,79.72
2023-04-14,Potato,85.71
2023-04-15,Potato,82.15
2023-04-16,Potato,82.68
2023-04-17,Potato,84.89
2023-04-18,Potato,79.53
2023-04-19,Potato,84.08
2023-04-20,Potato,83.46
2023-04-21,Potato,84.47
2023-04-22,Potato,83.89
2023-04-23,Potato,90.41
2023-04-24,Potato,81.16
2023-04-25,Potato,81.5
2023-04-26,Potato,81.25
2023-04-27,Potato,81.47
2023-04-28,Potato,81.24
2023-04-29,Potato,86.74
2023-04-30,Potato,87.44
2023-05-01,Potato,81.48
2023-05-02,Potato,80.71
2023-05-03,Potato,84.63
2023-05-04,Potato,81.57
2023-05-05,Potato,85.13
2023-05-06,Potato,83.84
2023-05-07,Potato,78.69
2023-05-08,Potato,87.88
2023-05-09,Potato,88.62
2023-05-10,Potato,81.4
2023-05-11,Potato,82.07
2023-05-12,Potato,84.08
2023-05-13,Potato,84.22
2023-05-14,Potato,85.18
2023-05-15,Potato,89.23
2023-05-16,Potato,82.65
2023-05-17,Potato,80.78
2023-05-18,Potato,79.02
2023-05-19,Potato,80.95
2023-05-20,Potato,83.02
2023-05-21,Potato,88.48
2023-05-22,Potato,81.52
2023-05-23,Potato,83.73
2023-05-24,Potato,82.98
2023-05-25,Potato,86.57
2023-05-26,Potato,90.55
2023-05-27,Potato,81.35
2023-05-28,Potato,81.44
2023-05-29,Potato,86.01
2023-05-30,Potato,84.89
2023-05-31,Potato,88.35
2023-06-01,Potato,84.52
2023-06-02,Potato,81.65
2023-06-03,Potato,84.46
2023-06-04,Potato,85.97
2023-06-05,Potato,85.06
2023-06-06,Potato,84.08
2023-06-07,Potato,85.71
2023-06-08,Potato,85.97
2023-06-09,Potato,86.56
2023-06-10,Potato,84.31
2023-06-11,Potato,81.8
2023-06-12,Potato,82.69
2023-06-13,Potato,85.82
2023-06-14,Potato,79.69
2023-06-15,Potato,83.19
2023-06-16,Potato,80.84
2023-06-17,Potato,82.04
2023-06-18,Potato,85.73
2023-06-19,Potato,82.4
2023-06-20,Potato,81.9
2023-06-21,Potato,77.62
2023-06-22,Potato,83.87
2023-06-23,Potato,83.5
2023-06-24,Potato,87.98
2023-06-25,Potato,80.49
2023-06-26,Potato,82.0
2023-06-27,Potato,82.02
2023-06-28,Potato,85.92
2023-06-29,Potato,80.83
2023-06-30,Potato,81.87
2023-07-01,Potato,82.78
2023-07-02,Potato,81.43
2023-07-03,Potato,79.45
2023-07-04,Potato,81.29
2023-07-05,Potato,83.85
2023-07-06,Potato,77.46
2023-07-07,Potato,80.85
2023-07-08,Potato,78.26
2023-07-09,Potato,83.86
2023-07-10,Potato,75.61
2023-07-11,Potato,78.42
2023-07-12,Potato,81.13
2023-07-13,Potato,84.6
2023-07-14,Potato,79.62
2023-07-15,Potato,78.05
2023-07-16,Potato,85.27
2023-07-17,Potato,75.18
2023-07-18,Potato,72.83
2023-07-19,Potato,80.65
